price,quantity,utility,allocation,cost
0,0,0,0,0
0,5,0,0,0
0,10,0,0,0
0,15,0,0,0
0,20,0,0,0
0,25,0,0,0
0,30,0,0,0
0,35,0,0,0
0,40,0,0,0
0,45,0,0,0
0,50,0,0,0
0,55,0,0,0
0,60,0,0,0
0,65,0,0,0
0,70,0,0,0
0,75,0,0,0
0,80,0,0,0
0,85,0,0,0
0,90,0,0,0
0,95,0,0,0
0,100,0,0,0
1,0,0,0,0
1,5,0,0,0
1,10,0,0,0
1,15,0,0,0
1,20,0,0,0
1,25,0,0,0
1,30,0,0,0
1,35,0,0,0
1,40,0,0,0
1,45,0,0,0
1,50,0,0,0
1,55,0,0,0
1,60,0,0,0
1,65,0,0,0
1,70,0,0,0
1,75,0,0,0
1,80,0,0,0
1,85,0,0,0
1,90,0,0,0
1,95,0,0,0
1,100,0,0,0
2,0,0,0,0
2,5,45,5,5
2,10,90,10,10
2,15,135,15,15
2,20,180,20,20
2,25,170,20,30
2,30,160,20,40
2,35,160,20,40
2,40,160,20,40
2,45,160,20,40
2,50,160,20,40
2,55,160,20,40
2,60,160,20,40
2,65,160,20,40
2,70,160,20,40
2,75,160,20,40
2,80,160,20,40
2,85,160,20,40
2,90,160,20,40
2,95,160,20,40
2,100,160,20,40
3,0,0,0,0
3,5,45,5,5
3,10,90,10,10
3,15,135,15,15
3,20,180,20,20
3,25,220,25,30
3,30,260,30,40
3,35,260,30,40
3,40,260,30,40
3,45,260,30,40
3,50,260,30,40
3,55,260,30,40
3,60,260,30,40
3,65,260,30,40
3,70,260,30,40
3,75,260,30,40
3,80,260,30,40
3,85,260,30,40
3,90,260,30,40
3,95,260,30,40
3,100,260,30,40
4,0,0,0,0
4,5,45,5,5
4,10,90,10,10
4,15,135,15,15
4,20,180,20,20
4,25,220,25,30
4,30,260,30,40
4,35,240,30,60
4,40,220,30,80
4,45,200,30,100
4,50,180,30,120
4,55,180,30,120
4,60,180,30,120
4,65,180,30,120
4,70,180,30,120
4,75,180,30,120
4,80,180,30,120
4,85,180,30,120
4,90,180,30,120
4,95,180,30,120
4,100,180,30,120
5,0,0,0,0
5,5,45,5,5
5,10,90,10,10
5,15,135,15,15
5,20,180,20,20
5,25,220,25,30
5,30,260,30,40
5,35,290,35,60
5,40,320,40,80
5,45,350,45,100
5,50,380,50,120
5,55,380,50,120
5,60,380,50,120
5,65,380,50,120
5,70,380,50,120
5,75,380,50,120
5,80,380,50,120
5,85,380,50,120
5,90,380,50,120
5,95,380,50,120
5,100,380,50,120
6,0,0,0,0
6,5,45,5,5
6,10,90,10,10
6,15,135,15,15
6,20,180,20,20
6,25,220,25,30
6,30,260,30,40
6,35,290,35,60
6,40,320,40,80
6,45,350,45,100
6,50,380,50,120
6,55,380,50,120
6,60,380,50,120
6,65,380,50,120
6,70,380,50,120
6,75,380,50,120
6,80,380,50,120
6,85,380,50,120
6,90,380,50,120
6,95,380,50,120
6,100,380,50,120
7,0,0,0,0
7,5,45,5,5
7,10,90,10,10
7,15,135,15,15
7,20,180,20,20
7,25,220,25,30
7,30,260,30,40
7,35,290,35,60
7,40,320,40,80
7,45,350,45,100
7,50,380,50,120
7,55,345,50,155
7,60,310,50,190
7,65,275,50,225
7,70,240,50,260
7,75,240,50,260
7,80,240,50,260
7,85,240,50,260
7,90,240,50,260
7,95,240,50,260
7,100,240,50,260
8,0,0,0,0
8,5,45,5,5
8,10,90,10,10
8,15,135,15,15
8,20,180,20,20
8,25,220,25,30
8,30,260,30,40
8,35,290,35,60
8,40,320,40,80
8,45,350,45,100
8,50,380,50,120
8,55,395,55,155
8,60,410,60,190
8,65,425,65,225
8,70,440,70,260
8,75,440,70,260
8,80,440,70,260
8,85,440,70,260
8,90,440,70,260
8,95,440,70,260
8,100,440,70,260
9,0,0,0,0
9,5,45,5,5
9,10,90,10,10
9,15,135,15,15
9,20,180,20,20
9,25,220,25,30
9,30,260,30,40
9,35,290,35,60
9,40,320,40,80
9,45,350,45,100
9,50,380,50,120
9,55,395,55,155
9,60,410,60,190
9,65,425,65,225
9,70,440,70,260
9,75,440,70,260
9,80,440,70,260
9,85,440,70,260
9,90,440,70,260
9,95,440,70,260
9,100,440,70,260
10,0,0,0,0
10,5,45,5,5
10,10,90,10,10
10,15,135,15,15
10,20,180,20,20
10,25,220,25,30
10,30,260,30,40
10,35,290,35,60
10,40,320,40,80
10,45,350,45,100
10,50,380,50,120
10,55,395,55,155
10,60,410,60,190
10,65,425,65,225
10,70,440,70,260
10,75,440,70,260
10,80,440,70,260
10,85,440,70,260
10,90,440,70,260
10,95,440,70,260
10,100,440,70,260
11,0,0,0,0
11,5,45,5,5
11,10,90,10,10
11,15,135,15,15
11,20,180,20,20
11,25,220,25,30
11,30,260,30,40
11,35,290,35,60
11,40,320,40,80
11,45,350,45,100
11,50,380,50,120
11,55,395,55,155
11,60,410,60,190
11,65,425,65,225
11,70,440,70,260
11,75,440,70,260
11,80,440,70,260
11,85,440,70,260
11,90,440,70,260
11,95,440,70,260
11,100,440,70,260
12,0,0,0,0
12,5,45,5,5
12,10,90,10,10
12,15,135,15,15
12,20,180,20,20
12,25,220,25,30
12,30,260,30,40
12,35,290,35,60
12,40,320,40,80
12,45,350,45,100
12,50,380,50,120
12,55,395,55,155
12,60,410,60,190
12,65,425,65,225
12,70,440,70,260
12,75,380,70,320
12,80,320,70,380
12,85,260,70,440
12,90,200,70,500
12,95,140,70,560
12,100,80,70,620
13,0,0,0,0
13,5,45,5,5
13,10,90,10,10
13,15,135,15,15
13,20,180,20,20
13,25,220,25,30
13,30,260,30,40
13,35,290,35,60
13,40,320,40,80
13,45,350,45,100
13,50,380,50,120
13,55,395,55,155
13,60,410,60,190
13,65,425,65,225
13,70,440,70,260
13,75,430,75,320
13,80,420,80,380
13,85,410,85,440
13,90,400,90,500
13,95,390,95,560
13,100,380,100,620
14,0,0,0,0
14,5,45,5,5
14,10,90,10,10
